100000,0.2,0.1,0.5,0.75,74.247,50.652,37.966,0.15,0.0257358,0.0266863,0.0273002,0.0282903,0.0290668,0.0298668,0.0307221,0.0317403,0.0329682,0.0340068,0.0348658,0.0357288,0.0366788,0.0385946,0.0406983,0.0446175,0.04792,0.050767,0.0529845,0.0565653,0.0589466,0.0614618,0.063575,0.0657636,0.066948,0.0672637,0.068246,0.0688465,0.0699178,0.0691443,0.0696565,0.069913,0.070334,0.0709908,0.0721873,0.0741242,0.0757723,0.077577,0.0796427,0.0813637,0.0837008,0.0868426,0.0916703,0.10062,0.117004,0.13589,0.153123,0.171365,0.185985,0.201577,0.212461,0.223143,0.232132,0.244336,0.251511,0.260203,0.268557,0.276648,0.287449,0.29706,0.307265
110000,0.2,0.1,0.5,0.75,74.267,50.568,38.044,0.15,0.0254971,0.0265516,0.02732,0.028152,0.0290428,0.0303231,0.031058,0.0318627,0.032318,0.0339737,0.0346989,0.0357152,0.0373222,0.0383608,0.0399832,0.0448217,0.0477527,0.0502506,0.0531292,0.0564296,0.0592251,0.0619068,0.063855,0.0654912,0.0662426,0.0674918,0.067338,0.0687507,0.0689856,0.0691846,0.0698966,0.0706766,0.0701402,0.0717847,0.0730083,0.0741955,0.0754989,0.0776717,0.0790995,0.0812278,0.0841007,0.0871878,0.0917897,0.10048,0.116257,0.136419,0.152906,0.171139,0.187957,0.20113,0.213609,0.223862,0.233701,0.243531,0.251018,0.259953,0.269131,0.277853,0.285135,0.296617,0.307172
120000,0.2,0.1,0.5,0.75,74.49,50.612,38.039,0.15,0.0256332,0.0265754,0.0273602,0.028339,0.0292075,0.0300228,0.0307314,0.032085,0.0327991,0.0334954,0.0350088,0.0359953,0.0373822,0.0386405,0.0407038,0.0442154,0.0473299,0.050844,0.0530505,0.0561843,0.0592907,0.0623511,0.0646562,0.0656666,0.0673198,0.0684455,0.0683765,0.0693966,0.0692052,0.0706155,0.0703524,0.0707314,0.0704949,0.0714038,0.0724577,0.0736194,0.0759804,0.0781331,0.0803114,0.0817851,0.0840587,0.0869584,0.0913398,0.099845,0.117081,0.135931,0.153671,0.170856,0.186815,0.201932,0.211663,0.223058,0.233872,0.242745,0.251171,0.260227,0.26872,0.277223,0.285628,0.295317,0.305116
130000,0.2,0.1,0.5,0.75,74.407,50.788,38.03,0.15,0.0257776,0.0266627,0.0274216,0.0282501,0.0291304,0.0301356,0.0309305,0.0319542,0.0326068,0.0336892,0.0351204,0.0362485,0.0372544,0.0386961,0.0407809,0.0448034,0.0481151,0.050816,0.0533791,0.0559553,0.0597013,0.0622813,0.0643771,0.0655257,0.0667896,0.0671175,0.0685367,0.0684558,0.0692981,0.06945,0.0700085,0.0700486,0.0713004,0.0710408,0.0722264,0.074294,0.0757078,0.0776265,0.0792147,0.08186,0.0839775,0.0870075,0.0919366,0.100302,0.116432,0.135535,0.153074,0.170736,0.186161,0.200546,0.211368,0.223575,0.233264,0.242565,0.251669,0.260441,0.268029,0.277056,0.285772,0.295394,0.306853
140000,0.2,0.1,0.5,0.75,74.369,50.917,38.191,0.15,0.0263275,0.0269719,0.0278912,0.0286109,0.0294917,0.0302328,0.0310379,0.0317136,0.032914,0.0337764,0.0354277,0.036164,0.0376161,0.0384497,0.0408011,0.0449742,0.0483275,0.051566,0.0540718,0.0558366,0.0596045,0.0619326,0.0640434,0.0652026,0.0667004,0.0674029,0.0681411,0.0685201,0.0689162,0.0696915,0.0702075,0.0704511,0.0706009,0.0708038,0.0717663,0.0737261,0.0759628,0.0780894,0.0799115,0.0818589,0.0845118,0.0872424,0.091602,0.100379,0.11765,0.135791,0.153297,0.171195,0.187458,0.201105,0.212379,0.223586,0.232653,0.242609,0.251863,0.259112,0.26794,0.27582,0.285771,0.29541,0.306539
150000,0.2,0.1,0.5,0.75,74.334,50.772,38.061,0.15,0.0257843,0.0267351,0.0274472,0.0285955,0.0291606,0.0299207,0.0307455,0.032018,0.0327828,0.0342079,0.0351768,0.0358071,0.0370954,0.0387345,0.041094,0.0444914,0.0482005,0.0505994,0.0533539,0.0564758,0.0592941,0.0617753,0.0640657,0.0655425,0.0668736,0.0676105,0.0682445,0.068668,0.0693483,0.0702821,0.0698016,0.0700518,0.0706132,0.0707296,0.0717167,0.0731456,0.0749432,0.0776076,0.0804707,0.0823453,0.0845498,0.0874291,0.091092,0.100158,0.116878,0.135577,0.153015,0.171185,0.18757,0.201436,0.212663,0.222648,0.234119,0.243737,0.252143,0.260689,0.269176,0.276579,0.285805,0.295209,0.305615
160000,0.2,0.1,0.5,0.75,74.346,50.728,37.836,0.15,0.0254855,0.0264195,0.0272224,0.0281477,0.0288362,0.0297725,0.0307086,0.0316323,0.0327411,0.0339222,0.0347827,0.0359438,0.0372042,0.0385594,0.0404147,0.0448434,0.0478711,0.051055,0.0535949,0.0559101,0.0591715,0.0622294,0.0642913,0.0653373,0.0664,0.0674645,0.0682633,0.0683634,0.0694318,0.070036,0.0700777,0.0704051,0.0706124,0.0711777,0.0722864,0.0738934,0.0757188,0.0771681,0.0791639,0.0814626,0.0834656,0.086452,0.0910958,0.100457,0.116495,0.135797,0.153939,0.171401,0.186918,0.201409,0.213119,0.222701,0.233109,0.242554,0.251206,0.260326,0.266971,0.276132,0.286083,0.29531,0.30604
170000,0.2,0.1,0.5,0.75,74.317,50.612,37.998,0.15,0.0256484,0.0264036,0.0273909,0.0280068,0.0288873,0.0299503,0.0311023,0.0318895,0.0329824,0.03386,0.0350031,0.0357923,0.0374339,0.0384526,0.0405178,0.0443629,0.0478144,0.0504359,0.0530345,0.0559872,0.0589911,0.0622171,0.0639644,0.0660476,0.0667649,0.0679863,0.0682155,0.0688425,0.0697676,0.0701559,0.0704187,0.0705985,0.0703991,0.0721412,0.0732127,0.0743844,0.0761149,0.0783435,0.0805726,0.0812679,0.0842969,0.0870981,0.0917644,0.100045,0.116589,0.136246,0.154063,0.170448,0.187088,0.201314,0.213051,0.223137,0.233442,0.242524,0.250906,0.260072,0.268085,0.277488,0.286661,0.296812,0.307355
180000,0.2,0.1,0.5,0.75,74.221,50.59,37.915,0.15,0.025618,0.0263865,0.0272248,0.0280433,0.0290542,0.0299791,0.0305865,0.0318072,0.0327614,0.0336722,0.0349562,0.0359042,0.0371596,0.038322,0.0405256,0.0442968,0.0477635,0.0505295,0.0531806,0.0558894,0.0590914,0.061949,0.0641456,0.0655828,0.0661648,0.0669789,0.0677571,0.0682016,0.0693584,0.0699419,0.0702706,0.0702279,0.070817,0.0708339,0.0721766,0.0736259,0.0756606,0.0773599,0.0798308,0.0818115,0.0840053,0.087064,0.0909298,0.100514,0.116723,0.135311,0.153789,0.170575,0.187703,0.200914,0.212673,0.223288,0.233147,0.243343,0.251295,0.25972,0.268074,0.276512,0.287239,0.296762,0.306937
190000,0.2,0.1,0.5,0.75,74.247,50.679,38.021,0.15,0.0259306,0.0265703,0.0272703,0.0282469,0.0290684,0.0299422,0.0308954,0.0320229,0.0327607,0.0339344,0.0351118,0.0359388,0.0372744,0.0385035,0.0409499,0.044358,0.0480269,0.0501121,0.0530522,0.0564465,0.0592034,0.0617835,0.0641326,0.0657052,0.0663128,0.067426,0.0675806,0.0687765,0.0696748,0.0702267,0.0705877,0.070365,0.0709889,0.0709496,0.072055,0.073658,0.0762265,0.0780178,0.0795331,0.0816809,0.0842036,0.0871558,0.0915973,0.10045,0.116657,0.135601,0.153888,0.171288,0.187537,0.201173,0.212835,0.224658,0.232971,0.242344,0.251112,0.260203,0.268122,0.276156,0.286151,0.296345,0.306612
200000,0.2,0.1,0.5,0.75,74.291,50.719,38.035,0.15,0.0258998,0.0266325,0.0273783,0.0283243,0.0291849,0.0298609,0.0307944,0.0319468,0.0330678,0.0340232,0.0352629,0.0355642,0.0370756,0.0385997,0.0406711,0.0445664,0.0480738,0.0507966,0.0535458,0.0560902,0.0592128,0.0619268,0.0638108,0.0660806,0.0660098,0.0672183,0.0678957,0.0683891,0.0691085,0.0702371,0.070374,0.0700279,0.0703447,0.0714878,0.0727875,0.0733613,0.0750456,0.0776058,0.0787084,0.0810037,0.0844262,0.0872761,0.0910681,0.100291,0.117447,0.136145,0.15375,0.171538,0.187826,0.201508,0.212971,0.223859,0.234304,0.242926,0.251522,0.260301,0.268553,0.2769,0.285666,0.296294,0.306337
210000,0.2,0.1,0.5,0.75,74.484,50.752,38.025,0.15,0.0258391,0.0264997,0.0275215,0.0283912,0.0292069,0.0301648,0.0308292,0.0316179,0.0328972,0.0338155,0.0345794,0.0360752,0.0371485,0.0385434,0.0409615,0.0446948,0.0480079,0.0507422,0.0536788,0.0563019,0.0596579,0.0624405,0.0642539,0.0652694,0.0670143,0.0676074,0.067652,0.0689539,0.0692788,0.0698104,0.0705625,0.070588,0.0703349,0.0718372,0.072397,0.0742656,0.076243,0.0779249,0.0794057,0.0815835,0.0843177,0.086878,0.0912599,0.100061,0.11666,0.136693,0.153224,0.171643,0.188034,0.200682,0.212602,0.222896,0.232775,0.243277,0.251775,0.260099,0.268469,0.276955,0.287091,0.295743,0.306778
220000,0.2,0.1,0.5,0.75,74.18,50.741,38.036,0.15,0.0258881,0.0265257,0.0275236,0.0282511,0.0291169,0.0300401,0.0308214,0.0319112,0.0328873,0.0339464,0.0350179,0.0360411,0.0372611,0.0385198,0.0407054,0.0443804,0.0481884,0.0509653,0.0533018,0.0560716,0.0591965,0.0617142,0.0635779,0.0652237,0.0663183,0.0673527,0.0680677,0.0685385,0.0694648,0.0698892,0.0701802,0.0696482,0.0705741,0.0709859,0.0717679,0.0729775,0.0754966,0.077234,0.079742,0.0816839,0.083626,0.0866607,0.0920349,0.100518,0.117442,0.136769,0.153886,0.172051,0.188429,0.201537,0.212939,0.223863,0.233997,0.243074,0.251484,0.259311,0.268061,0.277061,0.286917,0.296548,0.30633
230000,0.2,0.1,0.5,0.75,74.398,50.784,37.966,0.15,0.0257385,0.0264584,0.0270001,0.0280729,0.0289527,0.0298788,0.0311776,0.0319825,0.0328295,0.0338716,0.034821,0.0361642,0.0373983,0.0385802,0.0409219,0.0447557,0.0478875,0.0507616,0.0533214,0.0565779,0.0593557,0.062013,0.0642571,0.0654225,0.0670972,0.0678214,0.0681973,0.0687003,0.0699984,0.0697747,0.0700456,0.0699364,0.0701549,0.0711759,0.0722124,0.0739335,0.0759298,0.0773248,0.0799055,0.0814467,0.0836927,0.0868006,0.0912661,0.10092,0.116552,0.135923,0.153486,0.171386,0.187925,0.201517,0.213083,0.223962,0.234429,0.242729,0.25129,0.260117,0.268431,0.276376,0.285471,0.295711,0.306465
240000,0.2,0.1,0.5,0.75,74.395,50.709,37.932,0.15,0.0256532,0.0264945,0.0273376,0.0281221,0.0290162,0.0298973,0.0308701,0.0315595,0.0329819,0.0339576,0.0348876,0.036116,0.0371257,0.0382737,0.0404724,0.0446831,0.0480263,0.0509061,0.0536989,0.0563064,0.0592385,0.0617223,0.063971,0.065852,0.0671427,0.0679223,0.0677125,0.0682929,0.0689108,0.0698573,0.0697541,0.0700941,0.0706789,0.0710886,0.0724026,0.0740941,0.0752987,0.0774742,0.0799546,0.0819836,0.0849475,0.0870983,0.0910512,0.100628,0.116843,0.135737,0.152751,0.17111,0.187384,0.201145,0.212422,0.223342,0.233861,0.242468,0.252017,0.260097,0.268645,0.277382,0.286221,0.295318,0.3065
250000,0.2,0.1,0.5,0.75,74.388,50.652,37.974,0.15,0.0258281,0.0265199,0.0272914,0.0281353,0.0291474,0.0298697,0.030906,0.0317813,0.0327965,0.0338222,0.0350172,0.0359688,0.0373679,0.0382399,0.0405462,0.0445799,0.0475661,0.0508834,0.0530706,0.0567877,0.059078,0.0618599,0.0641451,0.0657811,0.0670439,0.0677002,0.0679702,0.0687674,0.0691765,0.0700488,0.0695853,0.0699738,0.070233,0.0708387,0.0721779,0.0738837,0.0754551,0.0774225,0.0796444,0.0813342,0.0842981,0.0871369,0.0915739,0.100188,0.116995,0.136755,0.153336,0.17156,0.187546,0.201087,0.212967,0.223863,0.233778,0.243199,0.252178,0.259986,0.269354,0.278395,0.286839,0.296495,0.306426
260000,0.2,0.1,0.5,0.75,74.296,50.662,37.999,0.15,0.0259374,0.0265637,0.0274951,0.0282133,0.0291907,0.0299756,0.0307687,0.0318214,0.0328169,0.0337863,0.0346741,0.035963,0.037277,0.0384013,0.0406605,0.0445635,0.0476043,0.0508564,0.053241,0.0564693,0.0590631,0.0619927,0.0637698,0.0654572,0.0666006,0.0675304,0.0679301,0.0688582,0.0690356,0.0698634,0.0700432,0.0700555,0.0707642,0.0711273,0.0719467,0.0733303,0.0751573,0.0774417,0.0788803,0.0812282,0.0838175,0.0867765,0.0913964,0.100749,0.116264,0.13563
